signal_type,entity_value,pair_degree,eligible_for_graph,rarity_weight
promo,2WT1224B12N1CDLOI,40,True,0.2289
promo,HUAWEIWATCHCAR1,40,True,0.2289
promo,DEMOBIKE3006GT1,39,True,0.2304
promo,TTN1GENLOYALBIG3LOITHAPCAR,39,True,0.2304
promo,VINCLUBCAR7,36,True,0.2354
payment,international_card,35,True,0.2791
payment,physical_business_card,34,True,0.2813
promo,NEWEXTN1,33,True,0.241
promo,TTN2GENLOYALBIG3DAI,32,True,0.2431
promo,3011BIKERFTTN1,30,True,0.2475
promo,2026GREEN4BIZ5,29,True,0.2499
promo,TTN2GENLOYALBIG3NGAN,28,True,0.2524
promo,MM1K,26,True,0.2579
promo,CUOCDAI1,24,True,0.2641
dropoff,"Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, Việt Nam",23,True,0.2517
promo,VNAAIRRPORT,23,True,0.2675
promo,WINMARTBIKEBS,23,True,0.2675
dropoff,"Phường Tân Sơn, Thành phố Hồ Chí Minh, VNM",22,True,0.2551
pickup,Ninh Bình,22,True,0.2551
promo,XANHIZ,22,True,0.2711
dropoff,Thành phố Hà Nội,21,True,0.2588
dropoff,"Xã Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",21,True,0.2588
pickup,"Phường Hòa Cường, Thành phố Đà Nẵng, Việt Nam",21,True,0.2588
pickup,Quảng Ngãi,21,True,0.2588
promo,2WT1224B13N1TDLOI,21,True,0.275
promo,NGAYXANHCARHNHCM,21,True,0.275
dropoff,"Phường Hòa Cường, Thành phố Đà Nẵng, Việt Nam",20,True,0.2628
pickup,"Phường An Lạc, Thành phố Hồ Chí Minh, Việt Nam",20,True,0.2628
promo,VINCOMGREENSM26,20,True,0.2792
dropoff,"395 Đường Kinh Dương Vương, Phường An Lạc, Thành phố Hồ Chí Minh, Việt Nam",19,True,0.267
dropoff,"Phường Tân Hưng, Thành phố Hồ Chí Minh, Việt Nam",19,True,0.267
dropoff,"Trường Sơn, Phường Tân Sơn Hòa, Thành phố Hồ Chí Minh, Việt Nam",19,True,0.267
payment,zalo,19,True,0.3338
pickup,"Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh, Việt Nam",19,True,0.267
pickup,"Phường Yên Hòa, Thành Phố Hà Nội, Việt Nam",19,True,0.267
pickup,"Phường Đông Hưng Thuận, Thành phố Hồ Chí Minh, Việt Nam",19,True,0.267
promo,2WT1224B14N1TDLOI,19,True,0.2837
promo,HCMLT11B,19,True,0.2837
promo,TTN2GENUNLOYALBIG3NGANA,19,True,0.2837
dropoff,"Phường Tân Sơn Hòa, Thành phố Hồ Chí Minh, Việt Nam",18,True,0.2717
dropoff,Quảng Ngãi,18,True,0.2717
promo,VINCLUBCAR6,18,True,0.2887
dropoff,"Phường Hòa Khánh, Thành phố Đà Nẵng, Việt Nam",17,True,0.2768
dropoff,"Phường Trung Mỹ Tây, Thành phố Hồ Chí Minh, Việt Nam",17,True,0.2768
dropoff,"Xã Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",17,True,0.2768
dropoff,"Đường Võ Nguyên Giáp, Xã Nội Bài, Thành Phố Hà Nội, Việt Nam",17,True,0.2768
pickup,Khánh Hòa,17,True,0.2768
pickup,Vĩnh Long,17,True,0.2768
pickup,"Xã Tân An Hội, Thành phố Hồ Chí Minh, Việt Nam",17,True,0.2768
dropoff,"Phường Hiệp Bình, Thành phố Hồ Chí Minh, Việt Nam",16,True,0.2824
dropoff,"Phường Thanh Khê, Thành phố Đà Nẵng, Việt Nam",16,True,0.2824
dropoff,"Phường Thới An, Thành phố Hồ Chí Minh, Việt Nam",16,True,0.2824
dropoff,"Xã Phú Hòa Đông, Thành phố Hồ Chí Minh, Việt Nam",16,True,0.2824
pickup,"Phường Tân Hưng, Thành phố Hồ Chí Minh, Việt Nam",16,True,0.2824
pickup,"Xã Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",16,True,0.2824
promo,2WT726TNVPHCM01,16,True,0.3
dropoff,"27 Cổ Linh, Phường Long Biên, Thành Phố Hà Nội, Việt Nam",15,True,0.2885
dropoff,Ninh Bình,15,True,0.2885
dropoff,"Phường Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",15,True,0.2885
dropoff,"Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh, Việt Nam",15,True,0.2885
pickup,"Phường Hiệp Bình, Thành phố Hồ Chí Minh, Việt Nam",15,True,0.2885
pickup,"Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, Việt Nam",15,True,0.2885
pickup,"Phường Trung Mỹ Tây, Thành phố Hồ Chí Minh, Việt Nam",15,True,0.2885
pickup,Thành phố Hải Phòng,15,True,0.2885
pickup,Thành phố Đà Nẵng,15,True,0.2885
promo,CUOCDAI2,15,True,0.3066
dropoff,"78 Đường Giải Phóng, Phường Kim Liên, Thành Phố Hà Nội, Việt Nam",14,True,0.2954
dropoff,Khánh Hòa,14,True,0.2954
dropoff,"Phường An Hải, Thành phố Đà Nẵng, Việt Nam",14,True,0.2954
dropoff,"Phường An Lạc, Thành phố Hồ Chí Minh, Việt Nam",14,True,0.2954
dropoff,"Phường Bảy Hiền, Thành phố Hồ Chí Minh, Việt Nam",14,True,0.2954
dropoff,"Phường Yên Hòa, Thành Phố Hà Nội, Việt Nam",14,True,0.2954
dropoff,Vĩnh Long,14,True,0.2954
dropoff,"Xã Tân An Hội, Thành phố Hồ Chí Minh, Việt Nam",14,True,0.2954
payment,shopee_pay,14,True,0.3693
pickup,"Phường Nghĩa Lộ, Tỉnh Quảng Ngãi, Việt Nam",14,True,0.2954
pickup,"Phường Thanh Khê, Thành phố Đà Nẵng, Việt Nam",14,True,0.2954
pickup,"Phường Thới An, Thành phố Hồ Chí Minh, Việt Nam",14,True,0.2954
pickup,"Phường Tân Thới Hiệp, Thành phố Hồ Chí Minh, Việt Nam",14,True,0.2954
pickup,"Phường Từ Liêm, Thành Phố Hà Nội, Việt Nam",14,True,0.2954
pickup,"Xã Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",14,True,0.2954
promo,POIBENXEMIENTAY,14,True,0.3139
promo,TTN2GENUNLOYALBIG3DAI,14,True,0.3139
dropoff,"240-242 Đường Phạm Văn Đồng, Phường Hiệp Bình, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
dropoff,"Phường An Hội Tây, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
dropoff,"Phường Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
dropoff,"Phường Hoa Lư, Tỉnh Ninh Bình, Việt Nam",13,True,0.3031
dropoff,"Phường Pleiku, Tỉnh Gia Lai, Việt Nam",13,True,0.3031
dropoff,"Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
dropoff,"Phường Tây Thạnh, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
dropoff,"Phường Đông Hưng Thuận, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
payment,vnpay_pos,13,True,0.3789
pickup,Hưng Yên,13,True,0.3031
pickup,"Phường Bảy Hiền, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
pickup,"Phường Hải Châu, Thành phố Đà Nẵng, Việt Nam",13,True,0.3031
pickup,"Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh, Việt Nam",13,True,0.3031
promo,0112CHURNTN1,13,True,0.3221
promo,0112RESTN1,13,True,0.3221
promo,2WT1224B12N2TDLOI,13,True,0.3221
promo,2WT1224B13N1CDLOI,13,True,0.3221
promo,DEMOBIKE1605TK,13,True,0.3221
dropoff,"292 Đường Đinh Bộ Lĩnh, Phường Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
dropoff,"Phường Bồ Đề, Thành Phố Hà Nội, Việt Nam",12,True,0.3119
dropoff,"Phường Hòa Xuân, Thành phố Đà Nẵng, Việt Nam",12,True,0.3119
dropoff,"Phường Nghĩa Đô, Thành Phố Hà Nội, Việt Nam",12,True,0.3119
dropoff,"Phường Thông Tây Hội, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
dropoff,"Phường Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
dropoff,"Phường Tân Phong, Tỉnh Lai Châu, Việt Nam",12,True,0.3119
dropoff,"Phường Tân Thới Hiệp, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
dropoff,"Xã Nhuận Đức, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
dropoff,"Xã Thái Mỹ, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
pickup,Bắc Ninh,12,True,0.3119
pickup,"Phường An Hội Tây, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
pickup,"Phường An Phú Đông, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
pickup,"Phường Hoa Lư, Tỉnh Ninh Bình, Việt Nam",12,True,0.3119
pickup,"Phường Hạnh Thông, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
pickup,"Phường Nha Trang, Tỉnh Khánh Hòa, Việt Nam",12,True,0.3119
pickup,"Phường Trấn Biên, Tỉnh Đồng Nai, Việt Nam",12,True,0.3119
pickup,"Phường Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
pickup,"Phường Tân Phong, Tỉnh Lai Châu, Việt Nam",12,True,0.3119
pickup,"Phường Tây Thạnh, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
pickup,"Phường Vũng Tàu, Thành phố Hồ Chí Minh, Việt Nam",12,True,0.3119
promo,2509SAIGONCENTRE,12,True,0.3314
promo,2WT1224B16N1TDLOI,12,True,0.3314
promo,GSMAEONCUNLIMITED,12,True,0.3314
promo,GSMVNPTCAR,12,True,0.3314
promo,KFCBIKE,12,True,0.3314
promo,NEWEXTN2,12,True,0.3314
dropoff,"12 Đường Số 400, Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh, VNM",11,True,0.3219
dropoff,"Phường An Phú Đông, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Bà Rịa, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Bình Phú, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Hòa Hưng, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Hạnh Thông, Thành Phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Nghĩa Lộ, Tỉnh Quảng Ngãi, Việt Nam",11,True,0.3219
dropoff,"Phường Nhiêu Lộc, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Tân Sơn Nhì, Thành Phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,"Phường Tương Mai, Thành Phố Hà Nội, Việt Nam",11,True,0.3219
dropoff,"Phường Vũng Tàu, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
dropoff,Quảng Trị,11,True,0.3219
dropoff,Thành phố Hải Phòng,11,True,0.3219
dropoff,"Đặc khu Phú Quốc, Tỉnh An Giang, Việt Nam",11,True,0.3219
pickup,Lào Cai,11,True,0.3219
pickup,"Phường Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Phường Bình Trị Đông, Thành Phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Phường Bồ Đề, Thành Phố Hà Nội, Việt Nam",11,True,0.3219
pickup,"Phường Cát Lái, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Phường Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",11,True,0.3219
pickup,"Phường Hòa Hưng, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Phường Hòa Khánh, Thành phố Đà Nẵng, Việt Nam",11,True,0.3219
pickup,"Phường Hòa Xuân, Thành phố Đà Nẵng, Việt Nam",11,True,0.3219
pickup,"Phường Long Khánh, Tỉnh Đồng Nai, Việt Nam",11,True,0.3219
pickup,"Phường Phước Long, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Phường Pleiku, Tỉnh Gia Lai, Việt Nam",11,True,0.3219
pickup,"Phường Tuy Hòa, Tỉnh Đắk Lắk, Việt Nam",11,True,0.3219
pickup,"Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,Sử dụng vị trí hiện tại,11,True,0.3219
pickup,Thành phố Huế,11,True,0.3219
pickup,Tỉnh Quảng Ngãi,11,True,0.3219
pickup,"Xã Bình Mỹ, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Xã Phú Hòa Đông, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Xã Thái Mỹ, Thành phố Hồ Chí Minh, Việt Nam",11,True,0.3219
pickup,"Đặc khu Phú Quốc, Tỉnh An Giang, Việt Nam",11,True,0.3219
promo,26T7PEAKDAYBIKE1,11,True,0.3421
promo,2WT1224B12N2CDLOI,11,True,0.3421
promo,2WT1224B16N1CDLOI,11,True,0.3421
promo,TTN1GENLOYALBIG2CAR,11,True,0.3421
promo,TTN2PRELOYALNGAN,11,True,0.3421
promo,VEXCAR,11,True,0.3421
dropoff,"Phường Bồ Đề, Thành phố Hà Nội, Việt Nam",10,True,0.3336
dropoff,"Phường Linh Xuân, Thành phố Hồ Chí Minh, Việt Nam",10,True,0.3336
dropoff,"Phường Phước Long, Thành phố Hồ Chí Minh, Việt Nam",10,True,0.3336
dropoff,"Phường Sơn Trà, Thành phố Đà Nẵng, Việt Nam",10,True,0.3336
dropoff,"Phường Tuy Hòa, Tỉnh Đắk Lắk, Việt Nam",10,True,0.3336
dropoff,"Phường Vĩnh Tuy, Thành Phố Hà Nội, Việt Nam",10,True,0.3336
dropoff,"Phường Xuân Phương, Thành phố Hà Nội, Việt Nam",10,True,0.3336
dropoff,Thành phố Đà Nẵng,10,True,0.3336
dropoff,"Xã An Khánh, Thành Phố Hà Nội, Việt Nam",10,True,0.3336
dropoff,"Xã Bà Điểm, Thành phố Hồ Chí Minh, Việt Nam",10,True,0.3336
dropoff,"Xã Bình Hưng, Thành phố Hồ Chí Minh, Việt Nam",10,True,0.3336
dropoff,"Xã Bình Mỹ, Thành phố Hồ Chí Minh, Việt Nam",10,True,0.3336
dropoff,"Xã Gia Lâm, Thành Phố Hà Nội, Việt Nam",10,True,0.3336
pickup,Phú Thọ,10,True,0.3336
pickup,"Phường Bãi Cháy, Tỉnh Quảng Ninh, Việt Nam",10,True,0.3336
pickup,"Phường Bạch Mai, Thành Phố Hà Nội, Việt Nam",10,True,0.3336
pickup,"Phường Chánh Hưng, Thành Phố Hồ Chí Minh, Việt Nam",10,True,0.3336
pickup,"Phường Cẩm Thành, Tỉnh Quảng Ngãi, Việt Nam",10,True,0.3336
pickup,"Phường Hà Đông, Thành phố Hà Nội, Việt Nam",10,True,0.3336
pickup,"Phường Nghĩa Đô, Thành Phố Hà Nội, Việt Nam",10,True,0.3336
pickup,"Phường Sơn Trà, Thành phố Đà Nẵng, Việt Nam",10,True,0.3336
pickup,"Phường Thanh Xuân, Thành Phố Hà Nội, Việt Nam",10,True,0.3336
pickup,"Phường Thuận Hóa, Thành Phố Huế, Việt Nam",10,True,0.3336
pickup,"Phường Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10,True,0.3336
pickup,"Phường Tây Nha Trang, Tỉnh Khánh Hòa, Việt Nam",10,True,0.3336
pickup,"Xã An Nhơn Tây, Thành phố Hồ Chí Minh, Việt Nam",10,True,0.3336
pickup,"Xã Gia Lâm, Thành phố Hà Nội, Việt Nam",10,True,0.3336
promo,2WT1224B17N1TDLOI,10,True,0.3545
promo,HOSPITAL2025,10,True,0.3545
promo,MOBICAR7,10,True,0.3545
promo,TTN2GENLOYALBIG2DAI,10,True,0.3545
promo,TTN2GENLOYALBIG2NGAN,10,True,0.3545
dropoff,"Phường An Khánh, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Phường An Nhơn, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Phường Ba Đình, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
dropoff,"Phường Bình Trị Đông, Thành Phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Phường Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Phường Bình Đông, Thành Phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Phường Chánh Hưng, Thành Phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Phường Hải Châu, Thành phố Đà Nẵng, Việt Nam",9,True,0.3474
dropoff,"Phường Hồng Gai, Tỉnh Quảng Ninh, Việt Nam",9,True,0.3474
dropoff,"Phường Phúc Lợi, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
dropoff,"Phường Quy Nhơn Nam, Tỉnh Gia Lai, Việt Nam",9,True,0.3474
dropoff,"Phường Tây Hồ, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
dropoff,"Phường Việt Hưng, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
dropoff,"Phường Vườn Lài, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Phường Ô Chợ Dừa, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
dropoff,"Xã An Nhơn Tây, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Xã Bình Khánh, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
dropoff,"Xã Đại Thanh, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
payment,closed_wallet,9,True,0.4343
pickup,"395 Đường Kinh Dương Vương, Phường An Lạc, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường An Hải, Thành phố Đà Nẵng, Việt Nam",9,True,0.3474
pickup,"Phường Bà Rịa, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Bình Hưng Hòa, Thành Phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Bến Thành, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Dương Nội, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
pickup,"Phường Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Hai Bà Trưng, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
pickup,"Phường Linh Xuân, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Móng Cái 2, Tỉnh Quảng Ninh, Việt Nam",9,True,0.3474
pickup,"Phường Nhiêu Lộc, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Quy Nhơn Nam, Tỉnh Gia Lai, Việt Nam",9,True,0.3474
pickup,"Phường Tam Bình, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Thủ Dầu Một, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Tân Sơn Nhì, Thành Phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Tân Thuận, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Phường Vĩnh Tuy, Thành Phố Hà Nội, Việt Nam",9,True,0.3474
pickup,"Phường Đông Hòa, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,Quảng Trị,9,True,0.3474
pickup,Thái Nguyên,9,True,0.3474
pickup,"Xã Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",9,True,0.3474
pickup,"Xã Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",9,True,0.3474
pickup,Đồng Tháp,9,True,0.3474
promo,2WT1224B4N1CDLOI,9,True,0.3692
promo,CKBIKEM4,9,True,0.3692
promo,CUOCDAI3,9,True,0.3692
promo,GOMALLCAR3,9,True,0.3692
promo,HUAWEIWATCHBIKE1,9,True,0.3692
promo,POISANBAYHCM1,9,True,0.3692
dropoff,"1 Đường Ngọc Hồi, Phường Yên Sở, Thành Phố Hà Nội, Việt Nam",8,True,0.3641
dropoff,Bắc Ninh,8,True,0.3641
dropoff,"Phường An Hội Đông, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường An Khê, Thành phố Đà Nẵng, Việt Nam",8,True,0.3641
dropoff,"Phường Bình Lợi Trung, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Bình Trưng, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Cát Lái, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Cẩm Thành, Tỉnh Quảng Ngãi, Việt Nam",8,True,0.3641
dropoff,"Phường Diên Hồng, Thành Phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Giảng Võ, Thành Phố Hà Nội, Việt Nam",8,True,0.3641
dropoff,"Phường Long Bình, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Nam Nha Trang, Tỉnh Khánh Hòa, Việt Nam",8,True,0.3641
dropoff,"Phường Phan Rang, Tỉnh Khánh Hòa, Việt Nam",8,True,0.3641
dropoff,"Phường Thuận Hóa, Thành Phố Huế, Việt Nam",8,True,0.3641
dropoff,"Phường Thủ Dầu Một, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Trấn Biên, Tỉnh Đồng Nai, Việt Nam",8,True,0.3641
dropoff,"Phường Tân Hòa, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Tân Thuận, Thành phố Hồ Chí Minh, Việt Nam",8,True,0.3641
dropoff,"Phường Tây Mỗ, Thành Phố Hà Nội, Việt Nam",8,True,0.3641
dropoff,"Phường Vĩnh Hưng, Thành Phố Hà Nội, Việt Nam",8,True,0.3641
dropoff,"Phường Xuân Phương, Thành Phố Hà Nội, Việt Nam",8,True,0.3641
dropoff,Thanh Hóa,8,True,0.3641
dropoff,Thành phố Huế,8,True,0.3641
