pair_id,driver_id,customer_id,evidence_type,observed_value,expected_value,threshold,score_contribution,data_quality_level,description
5f4fa4b5dc96fc17||5e63a8c46f1dfd09,5f4fa4b5dc96fc17,5e63a8c46f1dfd09,KB-C_EXTREME_VOLUME,36.0,,cohort_trip_threshold,58.58,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
5828b7e28d77245d||fad2dbe4e38702c5,5828b7e28d77245d,fad2dbe4e38702c5,KB-C_EXTREME_VOLUME,65.0,,cohort_trip_threshold,79.74,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
fbb5fad6a1615aa3||d99f5d7d24e2d881,fbb5fad6a1615aa3,d99f5d7d24e2d881,KB-C_EXTREME_VOLUME,40.0,,cohort_trip_threshold,69.98,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
f5d16c59104fbed7||790a7c79085e1cdc,f5d16c59104fbed7,790a7c79085e1cdc,KB-C_EXTREME_VOLUME,67.0,,cohort_trip_threshold,79.74,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
5dd78d9a81cbed8f||b17fc5490aa266e4,5dd78d9a81cbed8f,b17fc5490aa266e4,KB-C_EXTREME_VOLUME,40.0,,cohort_trip_threshold,59.31,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
f6282d84d92f0ed1||a86ab17c2f4cf7e5,f6282d84d92f0ed1,a86ab17c2f4cf7e5,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,53.47,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
b000369895322197||3b741f6e7b796df3,b000369895322197,3b741f6e7b796df3,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,53.84,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ee9a55ea5e7b6316||6e7a2cfe8823aaa2,ee9a55ea5e7b6316,6e7a2cfe8823aaa2,KB-C_EXTREME_VOLUME,25.0,,cohort_trip_threshold,52.96,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
0c4547ef96051cad||cb3a42f41d8ed1bc,0c4547ef96051cad,cb3a42f41d8ed1bc,KB-C_EXTREME_VOLUME,33.0,,cohort_trip_threshold,61.62,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
26cba052effbf0e3||f45ded2c24cce763,26cba052effbf0e3,f45ded2c24cce763,KB-C_EXTREME_VOLUME,26.0,,cohort_trip_threshold,52.39,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d3ac170709f50de7||a9640b909f60adb4,d3ac170709f50de7,a9640b909f60adb4,KB-C_EXTREME_VOLUME,33.0,,cohort_trip_threshold,58.1,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
031d6b289f9fd963||2c7192581a1b6e85,031d6b289f9fd963,2c7192581a1b6e85,KB-C_EXTREME_VOLUME,102.0,,cohort_trip_threshold,83.09,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
e504bb113eedbb01||b362416ee69d1f84,e504bb113eedbb01,b362416ee69d1f84,KB-C_EXTREME_VOLUME,77.0,,cohort_trip_threshold,55.61,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
b5d1bbee8ad1e4bf||fb2d8233b4054fc8,b5d1bbee8ad1e4bf,fb2d8233b4054fc8,KB-C_EXTREME_VOLUME,33.0,,cohort_trip_threshold,62.86,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
5bfcc769835bc616||49b8504ff44a6f3d,5bfcc769835bc616,49b8504ff44a6f3d,KB-C_EXTREME_VOLUME,28.0,,cohort_trip_threshold,59.19,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
e7d0b7f056509cdf||82f3af7f9355acd2,e7d0b7f056509cdf,82f3af7f9355acd2,KB-C_EXTREME_VOLUME,24.0,,cohort_trip_threshold,45.15,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
e6226a83e74cde2c||31e9d70f116f13a0,e6226a83e74cde2c,31e9d70f116f13a0,KB-C_EXTREME_VOLUME,46.0,,cohort_trip_threshold,57.92,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
6d41d622812350e8||a85190bfdf72ee03,6d41d622812350e8,a85190bfdf72ee03,KB-C_EXTREME_VOLUME,27.0,,cohort_trip_threshold,55.82,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d8ad18ba0b3bab28||71ac2c51b3d719cc,d8ad18ba0b3bab28,71ac2c51b3d719cc,KB-C_EXTREME_VOLUME,40.0,,cohort_trip_threshold,48.03,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
2ad211695a38705b||811391e246672e6b,2ad211695a38705b,811391e246672e6b,KB-C_EXTREME_VOLUME,10.0,,cohort_trip_threshold,48.97,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
8f3fdcaba9cd227e||fc93cbfb75bd312b,8f3fdcaba9cd227e,fc93cbfb75bd312b,KB-C_EXTREME_VOLUME,41.0,,cohort_trip_threshold,41.05,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
6ac447c7a0bdf9e4||73cf6441682389f9,6ac447c7a0bdf9e4,73cf6441682389f9,KB-C_EXTREME_VOLUME,31.0,,cohort_trip_threshold,57.73,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
a14b1a86c52d0c12||789cb9bc304669be,a14b1a86c52d0c12,789cb9bc304669be,KB-C_EXTREME_VOLUME,24.0,,cohort_trip_threshold,54.59,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
9c93e0c8cc8a3817||2f16d5c12ed95d2f,9c93e0c8cc8a3817,2f16d5c12ed95d2f,KB-C_EXTREME_VOLUME,31.0,,cohort_trip_threshold,46.36,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
150ce272eb426c0f||a7b7608c07bf6998,150ce272eb426c0f,a7b7608c07bf6998,KB-C_EXTREME_VOLUME,18.0,,cohort_trip_threshold,56.79,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
3a3c0eb1926d9e65||e9395bd45deffea8,3a3c0eb1926d9e65,e9395bd45deffea8,KB-C_EXTREME_VOLUME,48.0,,cohort_trip_threshold,53.89,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
7fcf436466291cb1||f70e6a906ebaf50a,7fcf436466291cb1,f70e6a906ebaf50a,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,52.26,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
01e148ef553c737f||99d38cf092913061,01e148ef553c737f,99d38cf092913061,KB-C_EXTREME_VOLUME,29.0,,cohort_trip_threshold,52.89,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d5b7dcc0ba5860dc||3d8210d1ef1503df,d5b7dcc0ba5860dc,3d8210d1ef1503df,KB-C_EXTREME_VOLUME,17.0,,cohort_trip_threshold,44.28,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
6db042c5dd3c1ac2||cd4eb772a03a76c9,6db042c5dd3c1ac2,cd4eb772a03a76c9,KB-C_EXTREME_VOLUME,36.0,,cohort_trip_threshold,44.2,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
7afd4c3507395b2f||b235143704083232,7afd4c3507395b2f,b235143704083232,KB-C_EXTREME_VOLUME,29.0,,cohort_trip_threshold,37.47,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
61ed7b3348db32e2||2c7192581a1b6e85,61ed7b3348db32e2,2c7192581a1b6e85,KB-C_EXTREME_VOLUME,70.0,,cohort_trip_threshold,78.25,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
86c40d438daa709a||32a8f8c52c0b0c0d,86c40d438daa709a,32a8f8c52c0b0c0d,KB-C_EXTREME_VOLUME,19.0,,cohort_trip_threshold,53.08,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
968ff0b5f9bc2cdd||367cfa7518afb41c,968ff0b5f9bc2cdd,367cfa7518afb41c,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,46.93,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
b24d7599b4d519da||69bc51ae419557aa,b24d7599b4d519da,69bc51ae419557aa,KB-C_EXTREME_VOLUME,16.0,,cohort_trip_threshold,47.76,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ff6991f732e05132||3c65ed70e9e2ce05,ff6991f732e05132,3c65ed70e9e2ce05,KB-C_EXTREME_VOLUME,24.0,,cohort_trip_threshold,45.97,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
7c0b132411b37fa6||190ac40c60535ce9,7c0b132411b37fa6,190ac40c60535ce9,KB-C_EXTREME_VOLUME,30.0,,cohort_trip_threshold,44.08,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
839b2baeda98c857||1cec7fbe2ec4c178,839b2baeda98c857,1cec7fbe2ec4c178,KB-C_EXTREME_VOLUME,35.0,,cohort_trip_threshold,56.33,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
92f702e5a686b9c4||8db2e31deb571a3d,92f702e5a686b9c4,8db2e31deb571a3d,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,66.7,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
11e4996e955e9754||c74aa8d733e635a5,11e4996e955e9754,c74aa8d733e635a5,KB-C_EXTREME_VOLUME,39.0,,cohort_trip_threshold,47.39,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
cf07c41702c5d803||58d9afc5a2ba75e2,cf07c41702c5d803,58d9afc5a2ba75e2,KB-C_EXTREME_VOLUME,9.0,,cohort_trip_threshold,47.21,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
30f9f0d5c8bce870||466dd53db700fd39,30f9f0d5c8bce870,466dd53db700fd39,KB-C_EXTREME_VOLUME,29.0,,cohort_trip_threshold,50.76,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
f7f2fc7ea3c0ab55||c1f69fb1a068ff32,f7f2fc7ea3c0ab55,c1f69fb1a068ff32,KB-C_EXTREME_VOLUME,25.0,,cohort_trip_threshold,53.96,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
875f7558903ca6a7||e37c1c635113bf58,875f7558903ca6a7,e37c1c635113bf58,KB-C_EXTREME_VOLUME,29.0,,cohort_trip_threshold,53.07,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
2b5f09de0a62950d||aa10b7ee9cb8499a,2b5f09de0a62950d,aa10b7ee9cb8499a,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,52.43,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
