component_id,driver_count,customer_count,pair_count,high_risk_pair_count,average_pair_score,maximum_pair_score,rare_shared_entity_count,weighted_internal_edge_sum,component_density,network_risk_score,high_risk_pair_ratio,component_risk_tier
ride_component_4,3,3,5,4,73.71,83.45,17,7,0.7,65.65,0.8,HIGH_RISK
ride_component_86,1,6,6,3,63.84,75.49,24,9,0.6,63.05,0.5,MONITOR
ride_component_47,7,7,7,0,41.39,45.19,26,13,0.62,53.45,0.0,MONITOR
ride_component_485,1,3,3,0,52.97,54.43,14,3,1.0,53.17,0.0,MONITOR
ride_component_371,1,4,4,0,51.06,61.07,14,4,0.67,50.92,0.0,MONITOR
ride_component_21,7,7,7,0,39.15,58.75,23,15,0.71,50.89,0.0,MONITOR
ride_component_253,5,5,5,0,34.06,39.17,20,10,1.0,50.13,0.0,MONITOR
ride_component_29,18,18,18,0,39.28,55.79,58,57,0.37,49.16,0.0,LOW_PRIORITY
ride_component_1,2,2,2,0,51.89,54.86,6,1,1.0,48.21,0.0,LOW_PRIORITY
ride_component_121,1,2,2,0,43.58,43.98,10,1,1.0,48.04,0.0,LOW_PRIORITY
ride_component_36,2,2,2,0,44.12,54.13,8,1,1.0,47.66,0.0,LOW_PRIORITY
ride_component_54,6,6,6,0,39.27,43.12,18,9,0.6,47.5,0.0,LOW_PRIORITY
ride_component_13,2,1,2,0,41.24,51.55,8,1,1.0,47.3,0.0,LOW_PRIORITY
ride_component_96,2,2,2,0,47.44,57.0,8,1,1.0,47.13,0.0,LOW_PRIORITY
ride_component_68,3,3,3,0,38.38,42.29,12,2,0.67,46.68,0.0,LOW_PRIORITY
ride_component_2,4,4,4,1,48.04,79.49,11,3,0.5,46.61,0.25,LOW_PRIORITY
ride_component_223,3,2,3,0,49.66,63.32,9,3,1.0,46.04,0.0,LOW_PRIORITY
ride_component_50,2,2,2,0,37.68,40.66,8,1,1.0,45.61,0.0,LOW_PRIORITY
ride_component_64,2,2,2,0,39.94,42.09,8,1,1.0,45.44,0.0,LOW_PRIORITY
ride_component_385,3,3,3,0,43.7,53.05,11,2,0.67,45.37,0.0,LOW_PRIORITY
ride_component_5,3,3,3,0,48.33,54.18,8,2,0.67,45.33,0.0,LOW_PRIORITY
ride_component_48,1,2,2,0,43.26,51.71,8,1,1.0,45.24,0.0,LOW_PRIORITY
ride_component_41,10,10,10,0,37.54,44.21,32,17,0.38,45.2,0.0,LOW_PRIORITY
ride_component_153,5,5,5,0,37.1,41.3,15,7,0.7,45.13,0.0,LOW_PRIORITY
ride_component_66,1,2,2,0,47.21,48.47,6,1,1.0,44.86,0.0,LOW_PRIORITY
ride_component_37,4,6,6,2,49.03,71.42,17,5,0.33,43.97,0.3333,LOW_PRIORITY
ride_component_49,6,6,6,0,35.53,43.71,19,7,0.47,43.96,0.0,LOW_PRIORITY
ride_component_27,5,5,5,0,37.67,44.95,12,7,0.7,43.87,0.0,LOW_PRIORITY
ride_component_75,5,5,5,0,38.38,42.54,14,5,0.5,43.87,0.0,LOW_PRIORITY
ride_component_270,1,3,3,0,40.14,43.0,10,2,0.67,43.6,0.0,LOW_PRIORITY
ride_component_52,3,3,3,0,38.91,41.43,9,2,0.67,43.18,0.0,LOW_PRIORITY
ride_component_342,2,2,2,0,35.38,35.48,8,1,1.0,43.08,0.0,LOW_PRIORITY
ride_component_103,4,4,4,0,39.1,47.03,12,3,0.5,42.88,0.0,LOW_PRIORITY
ride_component_11,6,6,6,0,38.68,52.87,17,6,0.4,42.45,0.0,LOW_PRIORITY
ride_component_42,4,4,4,0,34.75,41.09,13,3,0.5,42.3,0.0,LOW_PRIORITY
ride_component_25,9,10,10,0,36.02,49.94,31,15,0.33,42.19,0.0,LOW_PRIORITY
ride_component_571,1,3,3,0,30.38,31.59,11,3,1.0,42.12,0.0,LOW_PRIORITY
ride_component_23,6,6,6,0,35.26,46.06,16,7,0.47,41.92,0.0,LOW_PRIORITY
ride_component_143,5,5,5,0,30.43,36.81,17,6,0.6,41.87,0.0,LOW_PRIORITY
ride_component_449,1,2,2,0,33.42,36.05,8,1,1.0,41.52,0.0,LOW_PRIORITY
ride_component_117,5,5,5,0,38.78,48.2,14,4,0.4,41.44,0.0,LOW_PRIORITY
ride_component_343,1,2,2,0,41.1,47.14,6,1,1.0,41.38,0.0,LOW_PRIORITY
ride_component_88,3,3,3,0,38.65,40.35,6,3,1.0,41.35,0.0,LOW_PRIORITY
